"landuse","average_sale_count"
"VACANT COMMERCIAL LAND","3235294.1"
"APARTMENT: LOW RISE (BUILT SINCE 1960)","2000000.0"
"DAY CARE CENTER","1577500.0"
"CONDO","1260063.8"
"CONDOMINIUM OFC  OR OTHER COM CONDO","1254597.1"
"PARKING LOT","1225336.4"
"LIGHT MANUFACTURING","1200000.0"
"FOREST","1085330.0"
"CHURCH","820573.5"
"GREENBELT","604938.5"
"SPLIT CLASS","583927.5"
"RESIDENTIAL CONDO","436081.2"
"STRIP SHOPPING CENTER","424900.0"
"SMALL SERVICE SHOP","400000.0"
"NON-PROFIT CHARITABLE SERVICE","377500.0"
"VACANT RURAL LAND","375000.0"
"VACANT RESIDENTIAL LAND","374656.8"
"OFFICE BLDG (ONE OR TWO STORIES)","372500.0"
"QUADPLEX","363625.6"
"GREENBELT/RES
GRRENBELT/RES","359266.7"
"VACANT RESIENTIAL LAND","352547.3"
"RESIDENTIAL COMBO/MISC","333821.4"
"SINGLE FAMILY","280246.1"
"TRIPLEX","273588.3"
"DUPLEX","259824.7"
"ONE STORY GENERAL RETAIL STORE","258000.0"
"METRO OTHER THAN OFC, SCHOOL,HOSP, OR PARK","250000.0"
"DORMITORY/BOARDING HOUSE","249488.3"
"VACANT RES LAND","238600.9"
"NIGHTCLUB/LOUNGE","230000.0"
"PARSONAGE","217900.0"
"RESTURANT/CAFETERIA","210400.0"
"MORTUARY/CEMETERY","206700.0"
"CLUB/UNION HALL/LODGE","150000.0"
"ZERO LOT LINE","124338.8"
"TERMINAL/DISTRIBUTION WAREHOUSE","121500.0"
"CONVENIENCE MARKET WITHOUT GAS","65000.0"
"MOBILE HOME","36962.5"
"VACANT ZONED MULTI FAMILY","12000.0"
