"uniqueid","propertyaddress","yearbuilt","saledate","totalvalue"
20137,"2800  MCGAVOCK PIKE, NASHVILLE","1980","2014-08-15",13940400
9674,"4225  FRANKLIN PIKE, NASHVILLE","2016","2013-11-15",6402600
23769,"4225  FRANKLIN PIKE, NASHVILLE","2016","2014-11-17",6402600
1099,"540  JACKSON BLVD, NASHVILLE","1990","2013-03-01",5697100
1152,"4321  CHICKERING LN, NASHVILLE","2015","2013-03-12",4455200
37921,"6123  HILLSBORO PIKE, NASHVILLE","1996","2015-09-01",4058100
9595,"4410  TRUXTON PL, NASHVILLE","1970","2013-11-01",3723900
18209,"4333  CHICKERING LN, NASHVILLE","1970","2014-07-10",3500000
5605,"4405  WARNER PL, NASHVILLE","1994","2013-07-01",3388400
14227,"605  BELLE MEADE BLVD, NASHVILLE","1998","2014-04-25",3290300
