"yearbuilt","how_many_properties"
"1950","1153"
"1930","1008"
"1955","1005"
"1960","759"
"1940","751"
"2015","712"
"2016","600"
"1920","561"
"1948","538"
"1958","536"
"2014","526"
"1956","469"
"1984","466"
"1962","459"
"1963","441"
"1935","418"
"1959","413"
"1945","395"
"1965","387"
"1961","379"
"1985","372"
"1957","364"
"1964","355"
"1966","339"
"1968","323"
"1953","322"
"1983","316"
"1954","312"
"1987","305"
"1986","302"
"1972","299"
"1967","298"
"2013","297"
"1952","291"
"1951","276"
"1949","258"
"1925","258"
"1971","245"
"1928","230"
"1973","222"
"1969","216"
"1979","213"
"1978","204"
"1938","195"
"1947","194"
"1970","191"
"1977","188"
"1988","185"
"1974","176"
"1946","176"
"1910","161"
"1976","160"
"1980","153"
"1989","149"
"1997","138"
"1999","123"
"1975","118"
"1981","107"
"2006","105"
"2007","105"
"1996","97"
"2000","97"
"1991","95"
"2005","94"
"1899","93"
"1990","92"
"1941","89"
"1936","89"
"1942","89"
"1929","89"
"1998","87"
"1995","84"
"2004","81"
"1924","79"
"1994","78"
"1993","78"
"1939","76"
"1982","74"
"2001","73"
"1933","73"
"1932","72"
"1900","72"
"2012","71"
"1937","69"
"1926","68"
"2008","68"
"1934","66"
"2003","64"
"2002","60"
"1992","59"
"1923","55"
"1915","53"
"1943","49"
"2009","47"
"1927","42"
"1931","41"
"2010","36"
"1944","32"
"2011","32"
"1918","30"
"1919","23"
"1922","20"
"1909","17"
"2017","13"
"1921","11"
"1917","9"
"1905","9"
"1904","8"
"1916","8"
"1906","6"
"1912","5"
"1903","3"
"1908","3"
"1911","3"
"1870","2"
"1907","2"
"1902","2"
"1880","1"
"1799","1"
"1914","1"
"1890","1"
"1913","1"
"1893","1"
"1894","1"
"1832","1"
"1901","1"
